source	term_name	term_id	highlighted	adjusted_p_value	negative_log10_of_adjusted_p_value	term_size	query_size	intersection_size	effective_domain_size
GO:MF	structural constituent of cuticle	GO:0042302	TRUE	3.1373853517374684e-10	9.503432135476647	34	1151	18	15754
GO:MF	metallopeptidase activity	GO:0008237	TRUE	2.551308036928084e-7	6.593237102871295	107	1151	28	15754
GO:MF	metalloendopeptidase activity	GO:0004222	FALSE	1.91337E-06	5.718202022086104	58	1151	19	15754
GO:MF	signaling receptor activity	GO:0038023	TRUE	0.000121657	3.9148637776690656	148	1151	29	15754
GO:MF	molecular transducer activity	GO:0060089	FALSE	0.000121657	3.9148637776690656	148	1151	29	15754
GO:MF	chitin binding	GO:0008061	TRUE	0.000176956	3.7521339285751956	32	1151	12	15754
GO:MF	transmembrane signaling receptor activity	GO:0004888	FALSE	0.00022065	3.6562952667685447	136	1151	27	15754
GO:MF	carboxypeptidase activity	GO:0004180	TRUE	0.00022645	3.6450267371934126	14	1151	8	15754
GO:MF	transition metal ion binding	GO:0046914	TRUE	0.002865127	2.542856122	516	1151	64	15754
GO:MF	molecular_function	GO:0003674	FALSE	0.005322857	2.2738552325815875	6819	1151	563	15754
GO:MF	metallocarboxypeptidase activity	GO:0004181	FALSE	0.007134261	2.146651025786532	11	1151	6	15754
GO:MF	zinc ion binding	GO:0008270	FALSE	0.009904072	2.0041862024924066	463	1151	57	15754
GO:MF	extracellular ligand-gated monoatomic ion channel activity	GO:0005230	TRUE	0.010644593171671206	1.9728709323162725	39	1151	11	15754
GO:MF	peptidase activity	GO:0008233	FALSE	0.015583155986122086	1.8073445820578744	418	1151	52	15754
GO:MF	endopeptidase activity	GO:0004175	FALSE	0.020615937343378406	1.6857969143769402	299	1151	40	15754
GO:MF	DNA-directed DNA polymerase activity	GO:0003887	TRUE	0.041402882	1.3829694303882605	309	1151	40	15754
GO:MF	DNA polymerase activity	GO:0034061	FALSE	0.044274911	1.3538423049460833	310	1151	40	15754
GO:BP	anatomical structure development	GO:0048856	TRUE	7.127866860453179e-11	10.147040420967608	117	1151	35	15754
GO:BP	developmental process	GO:0032502	FALSE	6.972307308154709e-10	9.156623479379803	132	1151	36	15754
GO:BP	signaling	GO:0023052	TRUE	0.003494645	2.456596884220652	425	1151	56	15754
GO:BP	signal transduction	GO:0007165	FALSE	0.007613836	2.1183964578898737	416	1151	54	15754
GO:BP	biological_process	GO:0008150	FALSE	0.007999466	2.096939012694172	5014	1151	429	15754
GO:BP	cell communication	GO:0007154	FALSE	0.008551236	2.067971090486173	428	1151	55	15754
GO:BP	regulation of cellular process	GO:0050794	FALSE	0.015960166588376224	1.7969625799003919	863	1151	94	15754
GO:BP	biological regulation	GO:0065007	FALSE	0.016486403849750683	1.7828740659159448	966	1151	103	15754
GO:BP	proteolysis	GO:0006508	TRUE	0.028584379	1.5438712329008675	479	1151	58	15754
GO:BP	regulation of biological process	GO:0050789	FALSE	0.030638605157560596	1.5137310101283188	924	1151	98	15754
GO:BP	system process	GO:0003008	TRUE	0.049004155	1.309767095	13	1151	6	15754
GO:CC	membrane	GO:0016020	TRUE	5.822027848419855e-12	11.234925721537856	2513	1151	278	15754
GO:CC	cell periphery	GO:0071944	FALSE	6.70613E-05	4.173527954435768	246	1151	41	15754
GO:CC	cellular_component	GO:0005575	FALSE	0.000213255	3.671100500481341	5073	1151	443	15754
GO:CC	external encapsulating structure	GO:0030312	TRUE	0.00035108	3.4545936393229053	11	1151	7	15754
GO:CC	extracellular matrix	GO:0031012	FALSE	0.00035108	3.4545936393229053	11	1151	7	15754
GO:CC	plasma membrane	GO:0005886	FALSE	0.002642835	2.577929925827683	218	1151	34	15754
GO:CC	plasma membrane region	GO:0098590	FALSE	0.008629092	2.064034916832989	21	1151	8	15754
GO:CC	cellular anatomical entity	GO:0110165	FALSE	0.012616361691040825	1.8990658689680295	4711	1151	401	15754
GO:CC	extracellular region	GO:0005576	TRUE	0.017876891	1.7477080145984334	173	1151	27	15754
GO:CC	DNA polymerase complex	GO:0042575	TRUE	0.03700055	1.431791820626898	309	1151	40	15754
GO:CC	plasma membrane raft	GO:0044853	FALSE	0.049246604	1.3076237158888315	3	1151	3	15754
GO:CC	caveola	GO:0005901	FALSE	0.049246604	1.3076237158888315	3	1151	3	15754
